Frame Number,Moods
0,"[['calm', 0.477615624666214], ['sad', 0.8228156864643097], ['angry', 0.10266458243131638], ['happy', 0.08871206641197205], ['serious', 0.08633199334144592]]"
1,"[['calm', 0.4868331253528595], ['sad', 0.3286857306957245], ['angry', 0.10208488255739212], ['happy', 0.0943991020321846], ['serious', 0.08501163125038147]]"
2,"[['calm', 0.5033454298973083], ['sad', 0.33498525619506836], ['happy', 0.10159732401371002], ['angry', 0.09242915362119675], ['serious', 0.07549060881137848]]"
3,"[['calm', 0.5196328163146973], ['sad', 0.33053940534591675], ['happy', 0.10043556988239288], ['angry', 0.08820634335279465], ['serious', 0.0679764524102211]]"
4,"[['calm', 0.5124360918998718], ['sad', 0.3431403636932373], ['happy', 0.10669261962175369], ['angry', 0.08947256952524185], ['serious', 0.06383111327886581]]"
5,"[['calm', 0.5298347473144531], ['sad', 0.3486115038394928], ['happy', 0.1160590648651123], ['angry', 0.07865345478057861], ['serious', 0.05928713083267212]]"
6,"[['calm', 0.5068755745887756], ['sad', 0.35119593143463135], ['happy', 0.13182786107063293], ['angry', 0.06614167243242264], ['tired', 0.051688313484191895]]"
7,"[['calm', 0.49991703033447266], ['sad', 0.3612935543060303], ['happy', 0.13478010892868042], ['angry', 0.05420887470245361], ['tired', 0.04660486802458763]]"
8,"[['calm', 0.4887484014034271], ['sad', 0.37129291892051697], ['happy', 0.1349085569381714], ['angry', 0.05196680873632431], ['serious', 0.045495305210351944]]"
9,"[['calm', 0.4701785445213318], ['sad', 0.3643985092639923], ['happy', 0.13635268807411194], ['angry', 0.04580419138073921], ['tired', 0.04033396765589714]]"
10,"[['calm', 0.44817328453063965], ['sad', 0.3493425250053406], ['happy', 0.14936237037181854], ['sleeping', 0.036734212189912796], ['angry', 0.036241885274648666]]"
11,"[['calm', 0.43259161710739136], ['sad', 0.35992148518562317], ['happy', 0.15635305643081665], ['sleeping', 0.038088228553533554], ['angry', 0.03355986997485161]]"
12,"[['calm', 0.4243234395980835], ['sad', 0.3701353371143341], ['happy', 0.1672627180814743], ['sleeping', 0.041043512523174286], ['serious', 0.034100379794836044]]"
13,"[['calm', 0.4467221796512604], ['sad', 0.38161134719848633], ['happy', 0.1672719568014145], ['sleeping', 0.03873876854777336], ['serious', 0.037768613547086716]]"
14,"[['calm', 0.4570397436618805], ['sad', 0.3942233622074127], ['happy', 0.16364046931266785], ['serious', 0.04061400145292282], ['sleeping', 0.03941700980067253]]"
15,"[['calm', 0.46814605593681335], ['sad', 0.4277662932872772], ['happy', 0.14661668241024017], ['serious', 0.04730736091732979], ['angry', 0.04443554952740669]]"
16,"[['calm', 0.45238208770751953], ['sad', 0.42862850427627563], ['happy', 0.14847297966480255], ['serious', 0.04541115462779999], ['angry', 0.04404662922024727]]"
17,"[['calm', 0.45774149894714355], ['sad', 0.43161603808403015], ['happy', 0.1464710533618927], ['serious', 0.046323858201503754], ['tired', 0.04250060021877289]]"
18,"[['calm', 0.46120208501815796], ['sad', 0.43454915285110474], ['happy', 0.14536602795124054], ['serious', 0.04628005996346474], ['tired', 0.041292954236269]]"
19,"[['calm', 0.4666537940502167], ['sad', 0.43143805861473083], ['happy', 0.1415553092956543], ['serious', 0.04885854572057724], ['surprised', 0.03908500820398331]]"
20,"[['calm', 0.45249423384666443], ['sad', 0.42633986473083496], ['happy', 0.1463678479194641], ['serious', 0.049168795347213745], ['surprised', 0.04154243320226669]]"
21,"[['calm', 0.44836506247520447], ['sad', 0.4315902292728424], ['happy', 0.14173124730587006], ['serious', 0.05099064111709595], ['surprised', 0.04580310732126236]]"
22,"[['calm', 0.4460122883319855], ['sad', 0.4383337199687958], ['happy', 0.13774853944778442], ['serious', 0.05351802706718445], ['surprised', 0.045338958501815796]]"
23,"[['calm', 0.4448128342628479], ['sad', 0.44090476632118225], ['happy', 0.1290760189294815], ['serious', 0.05676198750734329], ['angry', 0.04863768070936203]]"
24,"[['sad', 0.44245314598083496], ['calm', 0.4402586817741394], ['happy', 0.125375896692276], ['serious', 0.05810195580124855], ['angry', 0.0548153892159462]]"
25,"[['sad', 0.4438246488571167], ['calm', 0.442330002784729], ['happy', 0.12472362816333771], ['serious', 0.05806940048933029], ['angry', 0.05474890023469925]]"
26,"[['sad', 0.4568994343280792], ['calm', 0.44877442717552185], ['happy', 0.10661990195512772], ['angry', 0.06113586202263832], ['serious', 0.05913057550787926]]"
27,"[['calm', 0.4549306035041809], ['sad', 0.4527047276496887], ['happy', 0.09913098812103271], ['angry', 0.0656760036945343], ['serious', 0.06018626317381859]]"
28,"[['calm', 0.46029168367385864], ['sad', 0.44923266768455505], ['happy', 0.09227634966373444], ['angry', 0.07047098875045776], ['serious', 0.06204605847597122]]"
29,"[['calm', 0.4712417423725128], ['sad', 0.4488162398338318], ['happy', 0.08905808627605438], ['angry', 0.07285705208778381], ['serious', 0.06226077303290367]]"
30,"[['calm', 0.4872257709503174], ['sad', 0.4799521863460541], ['happy', 0.07679329812526703], ['angry', 0.06369835138320923], ['serious', 0.06305739283561707]]"
31,"[['calm', 0.4879813492298126], ['sad', 0.4753522276878357], ['happy', 0.07553336769342422], ['tired', 0.06442772597074509], ['serious', 0.05909980833530426]]"
32,"[['calm', 0.4962518811225891], ['sad', 0.477207750082016], ['happy', 0.07739700376987457], ['tired', 0.06150265410542488], ['angry', 0.05656123906373978]]"
33,"[['calm', 0.4978775978088379], ['sad', 0.4813780188560486], ['happy', 0.08501685410737991], ['tired', 0.05767403915524483], ['serious', 0.05428926646709442]]"
34,"[['calm', 0.5186802744865417], ['sad', 0.45749568939208984], ['happy', 0.08513272553682327], ['serious', 0.05661272257566452], ['angry', 0.05559844523668289]]"
35,"[['calm', 0.5231086611747742], ['sad', 0.4320530593395233], ['happy', 0.08986813575029373], ['angry', 0.05330472066998482], ['serious', 0.05238332971930504]]"
36,"[['calm', 0.5274405479431152], ['sad', 0.42060768604278564], ['happy', 0.08640795946121216], ['serious', 0.05418627709150314], ['angry', 0.05388719215989113]]"
37,"[['calm', 0.5324124097824097], ['sad', 0.3887344002723694], ['happy', 0.08758103847503662], ['angry', 0.05494408681988716], ['serious', 0.0538271889090538]]"
38,"[['calm', 0.5177590847015381], ['sad', 0.37935054302215576], ['happy', 0.08869744092226028], ['angry', 0.05225175991654396], ['serious', 0.05074991285800934]]"
39,"[['calm', 0.5116847157478333], ['sad', 0.36282554268836975], ['happy', 0.09693197906017303], ['angry', 0.06122029945254326], ['serious', 0.044912565499544144]]"
40,"[['calm', 0.4995100498199463], ['sad', 0.3565329909324646], ['happy', 0.106822669506073], ['angry', 0.06054979935288429], ['surprised', 0.043176744133234024]]"
41,"[['calm', 0.489400714635849], ['sad', 0.3469798266887665], ['happy', 0.10967151820659637], ['angry', 0.06652456521987915], ['surprised', 0.04556109756231308]]"
42,"[['calm', 0.49289804697036743], ['sad', 0.358222633600235], ['happy', 0.10736721009016037], ['angry', 0.07438600808382034], ['serious', 0.047164104878902435]]"
43,"[['calm', 0.5015919804573059], ['sad', 0.3653307557106018], ['happy', 0.11216256767511368], ['angry', 0.08020413666963577], ['serious', 0.05016227811574936]]"
44,"[['calm', 0.5175919532775879], ['sad', 0.4042321741580963], ['happy', 0.10425947606563568], ['angry', 0.07342483103275299], ['serious', 0.04696342721581459]]"
45,"[['calm', 0.5251593589782715], ['sad', 0.3950740694999695], ['happy', 0.09636130928993225], ['angry', 0.06980901211500168], ['tired', 0.045191697776317596]]"
46,"[['calm', 0.5334740877151489], ['sad', 0.3859410583972931], ['happy', 0.08327215909957886], ['angry', 0.06911802291870117], ['serious', 0.04772746190428734]]"
47,"[['calm', 0.5399153232574463], ['sad', 0.347145140171051], ['happy', 0.09305514395236969], ['angry', 0.08407869935035706], ['serious', 0.05383297801017761]]"
48,"[['calm', 0.5331537127494812], ['sad', 0.3076009750366211], ['angry', 0.09279056638479233], ['happy', 0.08937724679708481], ['serious', 0.05287707597017288]]"
49,"[['calm', 0.4966355860233307], ['sad', 0.26518604159355164], ['angry', 0.10656818002462387], ['happy', 0.1001008078455925], ['serious', 0.05515178292989731]]"
50,"[['calm', 0.4945335388183594], ['sad', 0.2660207748413086], ['angry', 0.1171678677201271], ['happy', 0.1017504557967186], ['serious', 0.061578936874866486]]"
51,"[['calm', 0.5144397616386414], ['sad', 0.27348262071609497], ['angry', 0.12218320369720459], ['happy', 0.10952436923980713], ['serious', 0.06917796283960342]]"
