Duration (s),Direction
32.0,Forward
32.03333333333333,Forward
32.06666666666666,Forward
32.099999999999994,Forward
32.13333333333333,Forward
32.16666666666667,Forward
32.2,Looking Left
32.233333333333334,Looking Left
32.266666666666666,Looking Left
32.3,Looking Left
32.33333333333333,Looking Left
32.36666666666667,Looking Left
32.4,Looking Left
32.43333333333334,Looking Left
32.46666666666667,Looking Left
32.5,Looking Left
32.53333333333333,Looking Left
32.56666666666666,Looking Left
32.599999999999994,Looking Left
32.63333333333333,Looking Left
32.66666666666667,Looking Left
32.7,Looking Left
32.733333333333334,Looking Left
32.766666666666666,Looking Left
32.8,Forward
32.83333333333333,Forward
32.86666666666667,Forward
32.9,Forward
32.93333333333334,Forward
32.96666666666667,Forward
33.0,Forward
33.03333333333333,Forward
33.06666666666666,Forward
33.099999999999994,Forward
33.13333333333333,Looking Up
33.16666666666667,Looking Up
33.2,Looking Up
33.233333333333334,Looking Up
33.266666666666666,Looking Up
33.3,Looking Up
33.33333333333333,Looking Up
33.36666666666667,Looking Right
33.4,Looking Right
33.43333333333334,Looking Right
33.46666666666667,Looking Right
33.5,Looking Right
33.53333333333333,Looking Right
33.56666666666666,Looking Right
33.599999999999994,Looking Right
33.63333333333333,Looking Right
33.66666666666667,Looking Right
33.7,Looking Right
33.733333333333334,Looking Right
33.766666666666666,Looking Right
33.8,Forward
33.83333333333333,Forward
33.86666666666667,Forward
33.9,Forward
33.93333333333334,Forward
33.96666666666667,Forward
34.0,Forward
34.03333333333333,Forward
34.06666666666666,Forward
34.1,Forward
34.13333333333333,Forward
34.166666666666664,Forward
34.2,Forward
34.233333333333334,Forward
34.266666666666666,Forward
34.3,Forward
34.333333333333336,Forward
34.36666666666667,Forward
34.4,Forward
34.43333333333333,Forward
34.46666666666667,Looking Left
34.5,Forward
34.53333333333333,Looking Left
34.56666666666666,Forward
34.6,Forward
34.63333333333333,Forward
34.666666666666664,Forward
34.7,Forward
34.733333333333334,Forward
34.766666666666666,Forward
34.8,Forward
34.833333333333336,Forward
34.86666666666667,Forward
34.9,Forward
34.93333333333333,Forward
34.96666666666667,Forward
35.0,Forward
35.03333333333333,Looking Up
35.06666666666666,Looking Up
35.1,Looking Up
35.13333333333333,Looking Up
35.166666666666664,Looking Up
35.2,Looking Up
35.233333333333334,Looking Up
35.266666666666666,Looking Up
35.3,Looking Up
35.333333333333336,Looking Up
35.36666666666667,Looking Up
35.4,Looking Up
35.43333333333333,Looking Up
35.46666666666667,Looking Up
35.5,Looking Up
35.53333333333333,Looking Up
35.56666666666666,Looking Up
35.6,Looking Up
35.63333333333333,Looking Up
35.666666666666664,Looking Up
35.7,Looking Up
35.733333333333334,Looking Up
35.766666666666666,Looking Up
35.8,Looking Up
35.833333333333336,Looking Up
35.86666666666667,Looking Up
35.9,Looking Up
35.93333333333333,Looking Up
35.96666666666667,Looking Up
36.0,Looking Up
36.03333333333333,Looking Up
36.06666666666666,Looking Up
36.1,Looking Up
36.13333333333333,Looking Up
36.166666666666664,Looking Up
36.2,Looking Up
36.233333333333334,Looking Up
36.266666666666666,Looking Up
36.3,Looking Up
36.333333333333336,Looking Up
36.36666666666667,Looking Up
